Categories,,,,,,,
Mexican',,                'Tacos',,,,,
               'Chinese', 'Dim Sum', 'Cantonese',                   'Shanghainese',  'Szechuan',,,
 'LatinAmerican',                   'Nicaraguan',                    'Venezuelan',                  'Brazilian', 'Argentine',,,
American,Smokehouse, 'Hot Dogs', 'Pizza', 'Steakhouses', 'Burgers',,
 'Persian/Iranian',                'Salad',,,,,,
 'Laotian',                'Soul Food',,,,,,
American (Traditional), 'Southern',,,,,,
 'PanAsian',                'Hong Kong Style Cafe',Singaporean,'Vietnamese', 'Malaysian', 'Indonesian',,
 'AsianFusion',                'Noodles', 'Hot Pot',,,,,
Italian,Sicilian,,,,,,
 'MiddleEastern',                'Falafel',                   'Syrian',                  'Lebanese',Kebob, 'Arabian',,
Cafes, 'Creperies', 'Delis', 'Wraps', 'Pretzels', 'Cafeteria',,
Spanish,                    'Tapas/SmallPlates',,,,,,
Japanese,                  'Teppanyaki',                'Sushi Bars',                'Poke',                 'Izakaya',                  'Conveyor Belt Sushi', 'JapaneseCurry',
                  'African',                  'South African', 'Senegalese',,,,,
Western Europe,                  'Fondue', 'Portuguese', 'Irish Pub', 'Irish', 'Belgian',,
  'Scandinavian',,,,,,,
Eastern Europe,                  'Polish',                  'Czech', 'Afghan', 'Indian', 'Armenian', 'Slovakian', 'Ukrainian'
  'Caribbean', 'Puerto Rican',,,,,,
Breakfast & Brunch, 'Pancakes', 'Waffles',,,,,
 'Modern European',                'Tapas Bars',  'Brasseries',,,,,
Indian Sub-continent,                    'SriLankan', 'Pakistani', 'Himalayan/Nepalese',Kebab,,,
,                  'Haitian',,,,,,
Mediterranean,  'Greek','Turkish', 'Moroccan',,,,
, 'Mongolian',,,,,,
African,,,,,,,
,                  'Live/Raw Food',,,,,,
Islander, 'Hawaiian','Guamanian',,,,,
,,,,,,,
Miscellaneous, 'Gluten-Free',,,,,,
,,,,,,,
 'British', 'Fish & Chips',,,,,,
,,,,,,,
Desserts, 'Acai Bowls',,,,,,
 'Buffets',,,,,,,
'Seafood',,,,,,,
 'Vegetarian',,,,,,,
 'Kosher',,,,,,,
