,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
0,Railroad Station Bar and Grill,"['American (New)', 'Southern', 'Pubs']",Cloverdale,95425.0,38.8030784358586,-123.01537800547199,4.0,223,$$,slg-wyyA57sZSMWmNshl-Q,Sonoma
1,Hamburger Ranch & Bar-B-Que,"['Barbeque', 'Burgers']",Cloverdale,95425.0,38.817817687988295,-123.023628234863,4.0,381,$$,0Dj4fW3J3DJzrI51PLadRA,Sonoma
2,Trading Post,"['Bakeries', 'American (New)', 'Bars']",Cloverdale,95425.0,38.8051039,-123.0168659,4.0,130,$$,6o26tulocbwnkZx89EVHkA,Sonoma
3,Cloverdale Ale Company,"['Pubs', 'Beer Bar', 'American (Traditional)']",Cloverdale,95425.0,38.8056374443952,-123.015944433181,4.0,22,$$,wAbWk-do6kAUt3V9z8f9Wg,Sonoma
4,Piacere Italiano Steak and Seafood,"['Italian', 'Steakhouses', 'Seafood']",Cloverdale,95425.0,38.8106918334961,-123.02062225341801,3.5,123,$$,wcRhJxjChvs7Q4nBft_c8A,Sonoma
5,Railroad Square Bar and Grill,['Restaurants'],Cloverdale,95425.0,38.8028774410486,-123.01590889692301,4.0,7,Unavailable,VmRLVJ4QPJCC3ZoxHCAdvA,Sonoma
6,Papa's Pizza Cafe,"['Pizza', 'Salad', 'Sandwiches']",Cloverdale,95425.0,38.8053262,-123.01761200000001,4.5,85,$$,bwp-KNxkgfQhsbaBYYvqdw,Sonoma
7,MoE's Eagles Nest Deli,['Delis'],Cloverdale,95425.0,38.8056685,-123.0174212,3.5,61,$,mweczDf0CB-zt4JsremEPQ,Sonoma
8,La Hacienda,['Mexican'],Cloverdale,95425.0,38.806534899999996,-123.01784579999999,3.5,83,$$,aPow7ctyoPiaMGzHhzfZvQ,Sonoma
9,Picks Drive-In,"['Burgers', 'Ice Cream & Frozen Yogurt', 'Sandwiches']",Cloverdale,95425.0,38.8047516408326,-123.01706222125401,3.5,167,$$,qqVysA8ns692wucr7ftr8w,Sonoma
10,El Molcajete,['Mexican'],Cloverdale,95425.0,38.7844049462974,-123.01494097934601,4.0,90,$$,vDVaUkNFw3__cspco8z6nw,Sonoma
11,101 Thai Way,['Thai'],Cloverdale,95425.0,38.783698,-123.01120900000001,4.5,198,$$,kzQg7SmFR4YR_cK2tWRjEQ,Sonoma
12,KS Tian Yuen Restaurant,"['Chinese', 'Japanese', 'Sushi Bars']",Cloverdale,95425.0,38.800350189209,-123.017036437988,4.0,119,$$,GT3BntVo-Ves8ZywrmHTkg,Sonoma
13,Zini's Diner,"['American (Traditional)', 'Breakfast & Brunch']",Cloverdale,95425.0,38.791995,-123.016825,4.0,108,$$,qqpHX6ksqim3Sgm94zkTLA,Sonoma
