,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID
0,Railroad Station Bar and Grill,"['American (New)', 'Southern', 'Pubs']",Cloverdale,95425,38.8030784358586,-123.01537800547199,4.0,223,$$,slg-wyyA57sZSMWmNshl-Q
1,Hamburger Ranch & Bar-B-Que,"['Barbeque', 'Burgers']",Cloverdale,95425,38.817817687988295,-123.023628234863,4.0,381,$$,0Dj4fW3J3DJzrI51PLadRA
2,Trading Post,"['Bakeries', 'American (New)', 'Bars']",Cloverdale,95425,38.8051039,-123.0168659,4.0,130,$$,6o26tulocbwnkZx89EVHkA
3,Cloverdale Ale Company,"['Pubs', 'Beer Bar', 'American (Traditional)']",Cloverdale,95425,38.8056374443952,-123.015944433181,4.0,22,$$,wAbWk-do6kAUt3V9z8f9Wg
4,Piacere Italiano Steak and Seafood,"['Italian', 'Steakhouses', 'Seafood']",Cloverdale,95425,38.8106918334961,-123.02062225341801,3.5,123,$$,wcRhJxjChvs7Q4nBft_c8A
5,Railroad Square Bar and Grill,['Restaurants'],Cloverdale,95425,38.8028774410486,-123.01590889692301,4.0,7,Unavailable,VmRLVJ4QPJCC3ZoxHCAdvA
6,Papa's Pizza Cafe,"['Pizza', 'Salad', 'Sandwiches']",Cloverdale,95425,38.8053262,-123.01761200000001,4.5,85,$$,bwp-KNxkgfQhsbaBYYvqdw
7,MoE's Eagles Nest Deli,['Delis'],Cloverdale,95425,38.8056685,-123.0174212,3.5,61,$,mweczDf0CB-zt4JsremEPQ
8,La Hacienda,['Mexican'],Cloverdale,95425,38.806534899999996,-123.01784579999999,3.5,83,$$,aPow7ctyoPiaMGzHhzfZvQ
9,Picks Drive-In,"['Burgers', 'Ice Cream & Frozen Yogurt', 'Sandwiches']",Cloverdale,95425,38.8047516408326,-123.01706222125401,3.5,167,$$,qqVysA8ns692wucr7ftr8w
10,Phat Salads and Wraps,"['Food Trucks', 'Wraps']",Napa,94558,38.3186492919922,-122.299942016602,4.0,48,$,i6ZwMjYIbmFZ8EGYz6x5Bw
11,Loch Lomond RoadHouse,"['American (Traditional)', 'Burgers']",Loch Lomond,95461,38.86363,-122.7178,4.0,48,$$,lKdiMPiuiKV-ILWD-XgXog
12,Brick Oven Pizza,['Pizza'],Cobb,95426,38.825004309400896,-122.722054,3.5,36,$$,zZEOUAq-9jWHEXG-DSLZsg
13,Infuse Coffee Bar,"['Coffee & Tea', 'Breakfast & Brunch']",Loch Lomond,95461,38.8634143125274,-122.718181684613,5.0,4,Unavailable,_P0y4P7VZtE2pymBmMjJrw
15,808 Island Grill,"['Hawaiian', 'Food Trucks']",Roseville,95661,38.736900329589794,-121.267288208008,5.0,16,Unavailable,fLJLB8y-Bj9AEPVysp0JFQ
16,Deep Smoke Napa,"['Food Trucks', 'Caterers', 'Barbeque']",Napa,94581,38.2971305847168,-122.28643798828101,4.5,3,Unavailable,7L-Z-W6gpPh05Klul88few
19,Commons Farm Kitchen & Bar,"['Desserts', 'Burgers', 'Barbeque']",Guinda,95637,38.827516823179394,-122.191630327141,4.5,10,Unavailable,Tw0ulLjwqs34f06ZPPBnIA
