,Lat,Lng,Total # of Restaurants
0,38.871657,-123.109843,0
1,38.871657,-123.017222,5
2,38.871657,-122.924601,0
3,38.871657,-122.83198,0
4,38.871657,-122.73935900000001,5
5,38.871657,-122.64673799999998,14
6,38.871657,-122.55411699999999,3
7,38.871657,-122.461496,0
8,38.871657,-122.368875,0
9,38.871657,-122.27625400000001,2
10,38.871657,-122.183633,5
11,38.871657,-122.091012,0
12,38.871657,-121.998391,7
13,38.871657,-121.90576999999999,4
14,38.871657,-121.813149,0
15,38.871657,-121.720528,2
16,38.871657,-121.62790700000001,2
17,38.871657,-121.53528600000001,4
18,38.871657,-121.44266499999999,5
19,38.799167,-123.109843,0
20,38.799167,-123.017222,23
21,38.799167,-122.924601,0
22,38.799167,-122.83198,0
23,38.799167,-122.73935900000001,5
24,38.799167,-122.64673799999998,12
25,38.799167,-122.55411699999999,10
26,38.799167,-122.461496,0
27,38.799167,-122.368875,0
28,38.799167,-122.27625400000001,0
29,38.799167,-122.183633,15
30,38.799167,-122.091012,1
31,38.799167,-121.998391,3
32,38.799167,-121.90576999999999,7
33,38.799167,-121.813149,0
34,38.799167,-121.720528,5
35,38.799167,-121.62790700000001,0
36,38.799167,-121.53528600000001,1
37,38.799167,-121.44266499999999,6
38,38.726677,-123.109843,0
39,38.726677,-123.017222,10
40,38.726677,-122.924601,8
41,38.726677,-122.83198,3
42,38.726677,-122.73935900000001,0
43,38.726677,-122.64673799999998,13
44,38.726677,-122.55411699999999,2
45,38.726677,-122.461496,0
46,38.726677,-122.368875,0
47,38.726677,-122.27625400000001,0
48,38.726677,-122.183633,14
49,38.726677,-122.091012,5
50,38.726677,-121.998391,8
51,38.726677,-121.90576999999999,2
52,38.726677,-121.813149,84
53,38.726677,-121.720528,67
54,38.726677,-121.62790700000001,19
55,38.726677,-121.53528600000001,5
56,38.726677,-121.44266499999999,49
57,38.654187,-123.109843,0
58,38.654187,-123.017222,0
59,38.654187,-122.924601,12
60,38.654187,-122.83198,63
61,38.654187,-122.73935900000001,0
62,38.654187,-122.64673799999998,1
63,38.654187,-122.55411699999999,1
64,38.654187,-122.461496,3
65,38.654187,-122.368875,0
66,38.654187,-122.27625400000001,0
67,38.654187,-122.183633,0
68,38.654187,-122.091012,4
69,38.654187,-121.998391,9
70,38.654187,-121.90576999999999,0
71,38.654187,-121.813149,87
72,38.654187,-121.720528,69
73,38.654187,-121.62790700000001,19
74,38.654187,-121.53528600000001,231
75,38.654187,-121.44266499999999,343
76,38.581697,-123.109843,2
77,38.581697,-123.017222,1
78,38.581697,-122.924601,4
79,38.581697,-122.83198,108
80,38.581697,-122.73935900000001,8
81,38.581697,-122.64673799999998,5
82,38.581697,-122.55411699999999,31
83,38.581697,-122.461496,15
84,38.581697,-122.368875,0
85,38.581697,-122.27625400000001,2
86,38.581697,-122.183633,2
87,38.581697,-122.091012,0
88,38.581697,-121.998391,26
89,38.581697,-121.90576999999999,2
90,38.581697,-121.813149,18
91,38.581697,-121.720528,177
92,38.581697,-121.62790700000001,4
93,38.581697,-121.53528600000001,619
94,38.581697,-121.44266499999999,927
95,38.509207,-123.109843,4
96,38.509207,-123.017222,36
97,38.509207,-122.924601,13
98,38.509207,-122.83198,60
99,38.509207,-122.73935900000001,171
100,38.509207,-122.64673799999998,51
101,38.509207,-122.55411699999999,2
102,38.509207,-122.461496,46
103,38.509207,-122.368875,9
104,38.509207,-122.27625400000001,2
105,38.509207,-122.183633,2
106,38.509207,-122.091012,0
107,38.509207,-121.998391,25
108,38.509207,-121.90576999999999,6
109,38.509207,-121.813149,72
110,38.509207,-121.720528,177
111,38.509207,-121.62790700000001,4
112,38.509207,-121.53528600000001,295
113,38.509207,-121.44266499999999,709
114,38.436717,-123.109843,4
115,38.436717,-123.017222,30
116,38.436717,-122.924601,17
117,38.436717,-122.83198,80
118,38.436717,-122.73935900000001,338
119,38.436717,-122.64673799999998,79
120,38.436717,-122.55411699999999,14
121,38.436717,-122.461496,20
122,38.436717,-122.368875,36
123,38.436717,-122.27625400000001,1
124,38.436717,-122.183633,0
125,38.436717,-122.091012,0
126,38.436717,-121.998391,8
127,38.436717,-121.90576999999999,18
128,38.436717,-121.813149,56
129,38.436717,-121.720528,0
130,38.436717,-121.62790700000001,1
131,38.436717,-121.53528600000001,74
132,38.436717,-121.44266499999999,374
133,38.364227,-123.109843,2
134,38.364227,-123.017222,24
135,38.364227,-122.924601,14
136,38.364227,-122.83198,71
137,38.364227,-122.73935900000001,216
138,38.364227,-122.64673799999998,52
139,38.364227,-122.55411699999999,22
140,38.364227,-122.461496,43
141,38.364227,-122.368875,40
142,38.364227,-122.27625400000001,148
143,38.364227,-122.183633,0
144,38.364227,-122.091012,0
145,38.364227,-121.998391,186
146,38.364227,-121.90576999999999,55
147,38.364227,-121.813149,1
148,38.364227,-121.720528,0
149,38.364227,-121.62790700000001,2
150,38.364227,-121.53528600000001,25
151,38.364227,-121.44266499999999,146
152,38.291737,-123.109843,2
153,38.291737,-123.017222,23
154,38.291737,-122.924601,15
155,38.291737,-122.83198,3
156,38.291737,-122.73935900000001,107
157,38.291737,-122.64673799999998,222
158,38.291737,-122.55411699999999,20
159,38.291737,-122.461496,108
160,38.291737,-122.368875,12
161,38.291737,-122.27625400000001,248
162,38.291737,-122.183633,0
163,38.291737,-122.091012,124
164,38.291737,-121.998391,251
165,38.291737,-121.90576999999999,50
166,38.291737,-121.813149,0
167,38.291737,-121.720528,0
168,38.291737,-121.62790700000001,1
169,38.291737,-121.53528600000001,23
170,38.291737,-121.44266499999999,10
171,38.219246999999996,-123.109843,0
172,38.219246999999996,-123.017222,0
173,38.219246999999996,-122.924601,10
174,38.219246999999996,-122.83198,2
175,38.219246999999996,-122.73935900000001,0
176,38.219246999999996,-122.64673799999998,188
177,38.219246999999996,-122.55411699999999,13
178,38.219246999999996,-122.461496,25
179,38.219246999999996,-122.368875,4
180,38.219246999999996,-122.27625400000001,98
181,38.219246999999996,-122.183633,17
182,38.219246999999996,-122.091012,145
183,38.219246999999996,-121.998391,147
184,38.219246999999996,-121.90576999999999,29
185,38.219246999999996,-121.813149,0
186,38.219246999999996,-121.720528,28
187,38.219246999999996,-121.62790700000001,16
188,38.219246999999996,-121.53528600000001,21
189,38.219246999999996,-121.44266499999999,11
190,38.146757,-123.109843,0
191,38.146757,-123.017222,0
192,38.146757,-122.924601,9
193,38.146757,-122.83198,7
194,38.146757,-122.73935900000001,5
195,38.146757,-122.64673799999998,7
196,38.146757,-122.55411699999999,84
197,38.146757,-122.461496,3
198,38.146757,-122.368875,0
199,38.146757,-122.27625400000001,225
200,38.146757,-122.183633,102
201,38.146757,-122.091012,5
202,38.146757,-121.998391,0
203,38.146757,-121.90576999999999,13
204,38.146757,-121.813149,0
205,38.146757,-121.720528,29
206,38.146757,-121.62790700000001,17
207,38.146757,-121.53528600000001,4
208,38.146757,-121.44266499999999,11
209,38.074267,-123.109843,0
210,38.074267,-123.017222,0
211,38.074267,-122.924601,1
212,38.074267,-122.83198,18
213,38.074267,-122.73935900000001,16
214,38.074267,-122.64673799999998,22
215,38.074267,-122.55411699999999,140
216,38.074267,-122.461496,3
217,38.074267,-122.368875,0
218,38.074267,-122.27625400000001,220
219,38.074267,-122.183633,201
220,38.074267,-122.091012,61
221,38.074267,-121.998391,30
222,38.074267,-121.90576999999999,80
223,38.074267,-121.813149,24
224,38.074267,-121.720528,0
225,38.074267,-121.62790700000001,17
226,38.074267,-121.53528600000001,4
227,38.074267,-121.44266499999999,11
228,38.001777000000004,-123.109843,0
229,38.001777000000004,-123.017222,0
230,38.001777000000004,-122.924601,0
231,38.001777000000004,-122.83198,8
232,38.001777000000004,-122.73935900000001,14
233,38.001777000000004,-122.64673799999998,16
234,38.001777000000004,-122.55411699999999,323
235,38.001777000000004,-122.461496,60
236,38.001777000000004,-122.368875,175
