,Lat,Lng,Total # of Restaurants
0,38.871657,-123.109843,0
1,38.871657,-123.017222,23
2,38.871657,-122.924601,0
3,38.871657,-122.83198,0
4,38.871657,-122.73935900000001,9
5,38.871657,-122.64673799999998,37
6,38.871657,-122.55411699999999,23
7,38.871657,-122.461496,0
8,38.871657,-122.368875,0
9,38.871657,-122.27625400000001,2
10,38.871657,-122.183633,5
11,38.871657,-122.091012,0
12,38.871657,-121.998391,7
13,38.871657,-121.90576999999999,9
14,38.871657,-121.813149,4
15,38.871657,-121.720528,5
16,38.871657,-121.62790700000001,3
17,38.871657,-121.53528600000001,6
18,38.871657,-121.44266499999999,5
19,38.799167,-123.109843,0
20,38.799167,-123.017222,23
21,38.799167,-122.924601,6
22,38.799167,-122.83198,1
23,38.799167,-122.73935900000001,5
24,38.799167,-122.64673799999998,15
25,38.799167,-122.55411699999999,20
26,38.799167,-122.461496,0
27,38.799167,-122.368875,0
28,38.799167,-122.27625400000001,2
29,38.799167,-122.183633,15
30,38.799167,-122.091012,15
31,38.799167,-121.998391,9
32,38.799167,-121.90576999999999,9
33,38.799167,-121.813149,5
34,38.799167,-121.720528,6
35,38.799167,-121.62790700000001,0
36,38.799167,-121.53528600000001,6
37,38.799167,-121.44266499999999,30
38,38.726677,-123.109843,0
39,38.726677,-123.017222,23
40,38.726677,-122.924601,14
41,38.726677,-122.83198,9
42,38.726677,-122.73935900000001,0
43,38.726677,-122.64673799999998,13
44,38.726677,-122.55411699999999,20
45,38.726677,-122.461496,0
46,38.726677,-122.368875,0
47,38.726677,-122.27625400000001,0
48,38.726677,-122.183633,14
49,38.726677,-122.091012,15
50,38.726677,-121.998391,9
51,38.726677,-121.90576999999999,6
52,38.726677,-121.813149,105
53,38.726677,-121.720528,110
54,38.726677,-121.62790700000001,19
55,38.726677,-121.53528600000001,143
56,38.726677,-121.44266499999999,209
57,38.654187,-123.109843,0
58,38.654187,-123.017222,0
59,38.654187,-122.924601,71
60,38.654187,-122.83198,69
61,38.654187,-122.73935900000001,0
62,38.654187,-122.64673799999998,32
63,38.654187,-122.55411699999999,34
64,38.654187,-122.461496,5
65,38.654187,-122.368875,4
66,38.654187,-122.27625400000001,0
67,38.654187,-122.183633,14
68,38.654187,-122.091012,15
69,38.654187,-121.998391,9
70,38.654187,-121.90576999999999,4
71,38.654187,-121.813149,114
72,38.654187,-121.720528,118
73,38.654187,-121.62790700000001,27
74,38.654187,-121.53528600000001,794
75,38.654187,-121.44266499999999,1100
76,38.581697,-123.109843,2
77,38.581697,-123.017222,29
78,38.581697,-122.924601,70
79,38.581697,-122.83198,132
80,38.581697,-122.73935900000001,67
81,38.581697,-122.64673799999998,32
82,38.581697,-122.55411699999999,38
83,38.581697,-122.461496,47
84,38.581697,-122.368875,6
85,38.581697,-122.27625400000001,4
86,38.581697,-122.183633,2
87,38.581697,-122.091012,0
88,38.581697,-121.998391,26
89,38.581697,-121.90576999999999,23
90,38.581697,-121.813149,99
91,38.581697,-121.720528,208
92,38.581697,-121.62790700000001,37
93,38.581697,-121.53528600000001,972
94,38.581697,-121.44266499999999,1500
95,38.509207,-123.109843,8
96,38.509207,-123.017222,38
97,38.509207,-122.924601,26
98,38.509207,-122.83198,109
99,38.509207,-122.73935900000001,422
100,38.509207,-122.64673799999998,246
101,38.509207,-122.55411699999999,47
102,38.509207,-122.461496,53
103,38.509207,-122.368875,16
104,38.509207,-122.27625400000001,4
105,38.509207,-122.183633,2
106,38.509207,-122.091012,0
107,38.509207,-121.998391,25
108,38.509207,-121.90576999999999,44
109,38.509207,-121.813149,137
110,38.509207,-121.720528,184
111,38.509207,-121.62790700000001,34
112,38.509207,-121.53528600000001,815
113,38.509207,-121.44266499999999,1500
114,38.436717,-123.109843,8
115,38.436717,-123.017222,47
116,38.436717,-122.924601,35
117,38.436717,-122.83198,134
118,38.436717,-122.73935900000001,503
119,38.436717,-122.64673799999998,293
120,38.436717,-122.55411699999999,30
121,38.436717,-122.461496,60
122,38.436717,-122.368875,40
123,38.436717,-122.27625400000001,8
124,38.436717,-122.183633,1
125,38.436717,-122.091012,0
126,38.436717,-121.998391,194
127,38.436717,-121.90576999999999,161
128,38.436717,-121.813149,56
129,38.436717,-121.720528,0
130,38.436717,-121.62790700000001,1
131,38.436717,-121.53528600000001,178
132,38.436717,-121.44266499999999,641
133,38.364227,-123.109843,24
134,38.364227,-123.017222,34
135,38.364227,-122.924601,23
136,38.364227,-122.83198,98
137,38.364227,-122.73935900000001,459
138,38.364227,-122.64673799999998,337
139,38.364227,-122.55411699999999,42
140,38.364227,-122.461496,116
141,38.364227,-122.368875,109
142,38.364227,-122.27625400000001,241
143,38.364227,-122.183633,1
144,38.364227,-122.091012,31
145,38.364227,-121.998391,250
146,38.364227,-121.90576999999999,168
147,38.364227,-121.813149,40
148,38.364227,-121.720528,0
149,38.364227,-121.62790700000001,13
150,38.364227,-121.53528600000001,51
151,38.364227,-121.44266499999999,269
152,38.291737,-123.109843,18
153,38.291737,-123.017222,28
154,38.291737,-122.924601,16
155,38.291737,-122.83198,5
156,38.291737,-122.73935900000001,179
157,38.291737,-122.64673799999998,324
158,38.291737,-122.55411699999999,70
159,38.291737,-122.461496,116
160,38.291737,-122.368875,87
161,38.291737,-122.27625400000001,262
162,38.291737,-122.183633,39
163,38.291737,-122.091012,246
164,38.291737,-121.998391,420
165,38.291737,-121.90576999999999,151
166,38.291737,-121.813149,0
167,38.291737,-121.720528,0
168,38.291737,-121.62790700000001,15
169,38.291737,-121.53528600000001,31
170,38.291737,-121.44266499999999,22
171,38.219246999999996,-123.109843,0
172,38.219246999999996,-123.017222,5
173,38.219246999999996,-122.924601,12
174,38.219246999999996,-122.83198,9
175,38.219246999999996,-122.73935900000001,20
176,38.219246999999996,-122.64673799999998,197
177,38.219246999999996,-122.55411699999999,56
178,38.219246999999996,-122.461496,97
179,38.219246999999996,-122.368875,34
180,38.219246999999996,-122.27625400000001,295
181,38.219246999999996,-122.183633,131
182,38.219246999999996,-122.091012,246
183,38.219246999999996,-121.998391,243
184,38.219246999999996,-121.90576999999999,34
185,38.219246999999996,-121.813149,13
186,38.219246999999996,-121.720528,29
187,38.219246999999996,-121.62790700000001,37
188,38.219246999999996,-121.53528600000001,25
189,38.219246999999996,-121.44266499999999,22
190,38.146757,-123.109843,0
191,38.146757,-123.017222,0
192,38.146757,-122.924601,10
193,38.146757,-122.83198,20
194,38.146757,-122.73935900000001,19
195,38.146757,-122.64673799999998,132
196,38.146757,-122.55411699999999,141
197,38.146757,-122.461496,17
198,38.146757,-122.368875,0
199,38.146757,-122.27625400000001,286
200,38.146757,-122.183633,306
201,38.146757,-122.091012,69
202,38.146757,-121.998391,20
203,38.146757,-121.90576999999999,13
204,38.146757,-121.813149,13
205,38.146757,-121.720528,29
206,38.146757,-121.62790700000001,41
207,38.146757,-121.53528600000001,22
208,38.146757,-121.44266499999999,34
209,38.074267,-123.109843,0
210,38.074267,-123.017222,0
211,38.074267,-122.924601,9
212,38.074267,-122.83198,22
213,38.074267,-122.73935900000001,26
214,38.074267,-122.64673799999998,65
215,38.074267,-122.55411699999999,202
216,38.074267,-122.461496,25
217,38.074267,-122.368875,74
218,38.074267,-122.27625400000001,378
219,38.074267,-122.183633,340
220,38.074267,-122.091012,167
221,38.074267,-121.998391,70
222,38.074267,-121.90576999999999,173
223,38.074267,-121.813149,187
224,38.074267,-121.720528,86
225,38.074267,-121.62790700000001,48
226,38.074267,-121.53528600000001,10
227,38.074267,-121.44266499999999,32
228,38.001777000000004,-123.109843,0
229,38.001777000000004,-123.017222,0
230,38.001777000000004,-122.924601,0
231,38.001777000000004,-122.83198,16
232,38.001777000000004,-122.73935900000001,28
233,38.001777000000004,-122.64673799999998,49
234,38.001777000000004,-122.55411699999999,403
235,38.001777000000004,-122.461496,224
236,38.001777000000004,-122.368875,359
237,38.001777000000004,-122.27625400000001,382
238,38.001777000000004,-122.183633,142
239,38.001777000000004,-122.091012,552
240,38.001777000000004,-121.998391,532
241,38.001777000000004,-121.90576999999999,209
242,38.001777000000004,-121.813149,234
243,38.001777000000004,-121.720528,232
244,38.001777000000004,-121.62790700000001,82
245,38.001777000000004,-121.53528600000001,1
246,38.001777000000004,-121.44266499999999,34
247,37.929287,-123.109843,0
248,37.929287,-123.017222,0
249,37.929287,-122.924601,0
250,37.929287,-122.83198,0
251,37.929287,-122.73935900000001,18
252,37.929287,-122.64673799999998,55
253,37.929287,-122.55411699999999,467
254,37.929287,-122.461496,327
255,37.929287,-122.368875,486
256,37.929287,-122.27625400000001,1100
257,37.929287,-122.183633,254
258,37.929287,-122.091012,734
259,37.929287,-121.998391,674
260,37.929287,-121.90576999999999,177
261,37.929287,-121.813149,222
262,37.929287,-121.720528,233
263,37.929287,-121.62790700000001,98
264,37.929287,-121.53528600000001,9
265,37.929287,-121.44266499999999,20
266,37.856797,-123.109843,0
267,37.856797,-123.017222,0
268,37.856797,-122.924601,0
269,37.856797,-122.83198,0
270,37.856797,-122.73935900000001,11
271,37.856797,-122.64673799999998,17
272,37.856797,-122.55411699999999,283
273,37.856797,-122.461496,3100
274,37.856797,-122.368875,2900
275,37.856797,-122.27625400000001,2100
276,37.856797,-122.183633,788
277,37.856797,-122.091012,384
278,37.856797,-121.998391,462
279,37.856797,-121.90576999999999,119
280,37.856797,-121.813149,2
281,37.856797,-121.720528,103
282,37.856797,-121.62790700000001,82
283,37.856797,-121.53528600000001,19
284,37.856797,-121.44266499999999,21
285,37.784307,-123.109843,0
286,37.784307,-123.017222,0
287,37.784307,-122.924601,0
288,37.784307,-122.83198,0
289,37.784307,-122.73935900000001,0
290,37.784307,-122.64673799999998,8
291,37.784307,-122.55411699999999,271
292,37.784307,-122.461496,4300
293,37.784307,-122.368875,3400
294,37.784307,-122.27625400000001,1900
