,Zip,City,County,Total # of Restaurants
0,94501,Alameda ,Alameda,7800
1,94502,Alameda ,Alameda,342
2,94706,Albany ,Alameda,719
3,94707,Albany ,Alameda,635
4,94710,Albany ,Alameda,2300
5,94701,Berkeley ,Alameda,1900
6,94702,Berkeley ,Alameda,980
7,94703,Berkeley ,Alameda,973
8,94704,Berkeley ,Alameda,941
9,94705,Berkeley ,Alameda,1800
10,94706,Berkeley ,Alameda,719
11,94707,Berkeley ,Alameda,635
12,94708,Berkeley ,Alameda,1300
13,94709,Berkeley ,Alameda,403
14,94710,Berkeley ,Alameda,2300
15,94712,Berkeley ,Alameda,88
16,94720,Berkeley ,Alameda,396
17,94568,Dublin ,Alameda,1600
18,94608,Emeryville ,Alameda,1300
19,94662,Emeryville ,Alameda,12
20,94536,Fremont ,Alameda,2800
21,94537,Fremont ,Alameda,44
22,94538,Fremont ,Alameda,3200
23,94539,Fremont ,Alameda,2700
24,94555,Fremont ,Alameda,3300
25,94540,Hayward ,Alameda,93
26,94541,Hayward ,Alameda,883
27,94542,Hayward ,Alameda,796
28,94543,Hayward ,Alameda,939
29,94544,Hayward ,Alameda,865
30,94545,Hayward ,Alameda,2900
31,94546,Hayward ,Alameda,3500
32,94552,Hayward ,Alameda,1000
33,94557,Hayward ,Alameda,18
34,94550,Livermore ,Alameda,5000
35,94551,Livermore ,Alameda,332
36,94560,Newark ,Alameda,3300
37,94601,Oakland ,Alameda,1900
38,94602,Oakland ,Alameda,2200
39,94603,Oakland ,Alameda,1700
40,94604,Oakland ,Alameda,66
41,94605,Oakland ,Alameda,1200
42,94606,Oakland ,Alameda,1200
43,94607,Oakland ,Alameda,2700
44,94608,Oakland ,Alameda,1300
45,94609,Oakland ,Alameda,1400
46,94610,Oakland ,Alameda,1300
47,94611,Oakland ,Alameda,5000
48,94612,Oakland ,Alameda,1200
49,94613,Oakland ,Alameda,82
50,94614,Oakland ,Alameda,7
51,94615,Oakland ,Alameda,275
52,94616,Oakland ,Alameda,1400
53,94617,Oakland ,Alameda,66
54,94618,Oakland ,Alameda,1100
55,94619,Oakland ,Alameda,3600
56,94620,Oakland ,Alameda,7100
57,94621,Oakland ,Alameda,1600
58,94622,Oakland ,Alameda,36
59,94623,Oakland ,Alameda,27
60,94624,Oakland ,Alameda,27
61,94649,Oakland ,Alameda,95
62,94659,Oakland ,Alameda,49
63,94660,Oakland ,Alameda,9
64,94661,Oakland ,Alameda,25
65,94666,Oakland ,Alameda,23
66,94602,Piedmont ,Alameda,2200
67,94610,Piedmont ,Alameda,1300
68,94611,Piedmont ,Alameda,5000
69,94618,Piedmont ,Alameda,1100
70,94620,Piedmont ,Alameda,7100
71,94566,Pleasanton ,Alameda,1500
72,94568,Pleasanton ,Alameda,1600
73,94588,Pleasanton ,Alameda,726
74,94577,San Leandro ,Alameda,1200
75,94578,San Leandro ,Alameda,1100
76,94579,San Leandro ,Alameda,1000
77,94587,Union City ,Alameda,2400
78,94509,Antioch ,Contra Costa,595
79,94531,Antioch ,Contra Costa,373
80,94513,Brentwood ,Contra Costa,315
81,94517,Clayton ,Contra Costa,265
82,94518,Concord ,Contra Costa,788
83,94519,Concord ,Contra Costa,598
84,94520,Concord ,Contra Costa,1200
85,94521,Concord ,Contra Costa,1300
86,94522,Concord ,Contra Costa,10
87,94523,Concord ,Contra Costa,781
88,94524,Concord ,Contra Costa,7
89,94527,Concord ,Contra Costa,7
90,94529,Concord ,Contra Costa,6
91,94506,Danville ,Contra Costa,1700
92,94526,Danville ,Contra Costa,2200
93,94530,El Cerrito ,Contra Costa,1200
94,94547,Hercules ,Contra Costa,408
95,94549,Lafayette ,Contra Costa,3500
96,94553,Martinez ,Contra Costa,810
97,94556,Moraga ,Contra Costa,476
98,94570,Moraga ,Contra Costa,15
99,94575,Moraga ,Contra Costa,57
100,94561,Oakley ,Contra Costa,475
101,94563,Orinda ,Contra Costa,3800
102,94564,Pinole ,Contra Costa,410
103,94565,Pittsburg ,Contra Costa,1200
104,94523,Pleasant Hill ,Contra Costa,781
105,94801,Richmond ,Contra Costa,3300
106,94802,Richmond ,Contra Costa,40
107,94803,Richmond ,Contra Costa,690
108,94804,Richmond ,Contra Costa,1100
109,94805,Richmond ,Contra Costa,317
110,94806,Richmond ,Contra Costa,454
111,94807,Richmond ,Contra Costa,35
112,94808,Richmond ,Contra Costa,1000
113,94820,Richmond ,Contra Costa,109
114,94850,Richmond ,Contra Costa,52
115,94803,San Pablo ,Contra Costa,690
116,94805,San Pablo ,Contra Costa,317
117,94806,San Pablo ,Contra Costa,454
118,94582,San Ramon ,Contra Costa,545
119,94583,San Ramon ,Contra Costa,1900
120,94595,Walnut Creek ,Contra Costa,490
121,94596,Walnut Creek ,Contra Costa,695
122,94597,Walnut Creek ,Contra Costa,774
123,94598,Walnut Creek ,Contra Costa,1500
124,94920,Belvedere ,Marin,431
