Railroad Station Bar and Grill,"['American (New)', 'Southern', 'Pubs']",Cloverdale,95425,38.8030784358586,-123.01537800547199,4.0,223,$$,slg-wyyA57sZSMWmNshl-Q
Hamburger Ranch & Bar-B-Que,"['Barbeque', 'Burgers']",Cloverdale,95425,38.817817687988295,-123.023628234863,4.0,381,$$,0Dj4fW3J3DJzrI51PLadRA
Trading Post,"['Bakeries', 'American (New)', 'Bars']",Cloverdale,95425,38.8051039,-123.0168659,4.0,130,$$,6o26tulocbwnkZx89EVHkA
Cloverdale Ale Company,"['Pubs', 'Beer Bar', 'American (Traditional)']",Cloverdale,95425,38.8056374443952,-123.015944433181,4.0,22,$$,wAbWk-do6kAUt3V9z8f9Wg
Piacere Italiano Steak and Seafood,"['Italian', 'Steakhouses', 'Seafood']",Cloverdale,95425,38.8106918334961,-123.02062225341801,3.5,123,$$,wcRhJxjChvs7Q4nBft_c8A
Railroad Square Bar and Grill,['Restaurants'],Cloverdale,95425,38.8028774410486,-123.01590889692301,4.0,7,NAN,VmRLVJ4QPJCC3ZoxHCAdvA
Papa's Pizza Cafe,"['Pizza', 'Salad', 'Sandwiches']",Cloverdale,95425,38.8053262,-123.01761200000001,4.5,85,$$,bwp-KNxkgfQhsbaBYYvqdw
MoE's Eagles Nest Deli,['Delis'],Cloverdale,95425,38.8056685,-123.0174212,3.5,61,$,mweczDf0CB-zt4JsremEPQ
La Hacienda,['Mexican'],Cloverdale,95425,38.806534899999996,-123.01784579999999,3.5,83,$$,aPow7ctyoPiaMGzHhzfZvQ
Picks Drive-In,"['Burgers', 'Ice Cream & Frozen Yogurt', 'Sandwiches']",Cloverdale,95425,38.8047516408326,-123.01706222125401,3.5,167,$$,qqVysA8ns692wucr7ftr8w
Phat Salads and Wraps,"['Food Trucks', 'Wraps']",Napa,94558,38.3186492919922,-122.299942016602,4.0,48,$,i6ZwMjYIbmFZ8EGYz6x5Bw
Loch Lomond RoadHouse,"['American (Traditional)', 'Burgers']",Loch Lomond,95461,38.86363,-122.7178,4.0,48,$$,lKdiMPiuiKV-ILWD-XgXog
Brick Oven Pizza,['Pizza'],Cobb,95426,38.825004309400896,-122.722054,3.5,36,$$,zZEOUAq-9jWHEXG-DSLZsg
Infuse Coffee Bar,"['Coffee & Tea', 'Breakfast & Brunch']",Loch Lomond,95461,38.8634143125274,-122.718181684613,5.0,4,NAN,_P0y4P7VZtE2pymBmMjJrw
808 Island Grill,"['Hawaiian', 'Food Trucks']",Roseville,95661,38.736900329589794,-121.267288208008,5.0,16,NAN,fLJLB8y-Bj9AEPVysp0JFQ
Deep Smoke Napa,"['Food Trucks', 'Caterers', 'Barbeque']",Napa,94581,38.2971305847168,-122.28643798828101,4.5,3,NAN,7L-Z-W6gpPh05Klul88few
Commons Farm Kitchen & Bar,"['Desserts', 'Burgers', 'Barbeque']",Guinda,95637,38.827516823179394,-122.191630327141,4.5,10,NAN,Tw0ulLjwqs34f06ZPPBnIA
Zintzuni Cocina Mexicana,"['Mexican', 'Food Trucks']",Sacramento,95828,38.5815719,-121.49439960000001,4.5,38,NAN,f1qZQRX6bT5n0fs-mLcKzA
Taqueria La Michoacana,['Mexican'],Dunnigan,95937,38.867540000000005,-121.955022,4.5,8,NAN,PHfhxjx9SsNXBoh-35BIrQ
Denny's,"['Diners', 'Breakfast & Brunch', 'American (Traditional)']",Dunnigan,95937,38.861979999999996,-121.95166,3.0,23,$$$,GH_OZqTWQ5EAZJ18s8ry8Q
Wendy's,"['Fast Food', 'Burgers']",Dunnigan,95695,38.862271,-121.95067900000001,3.5,18,$,VtiwQUNJscarGepAoIhW4A
Wendy's,"['Fast Food', 'Burgers']",Arbuckle,95912,38.862276,-121.950631,2.5,6,$,CkZHjsNt5up-zX5ZQrWrQA
Jack in the Box,"['Fast Food', 'Burgers', 'Breakfast & Brunch']",Dunnigan,95937,38.8818809163785,-121.9711408,2.0,32,$,GPEckpCj-p1q5ckfF0CvQw
El Molcajete,['Mexican'],Cloverdale,95425,38.7844049462974,-123.01494097934601,4.0,90,$$,vDVaUkNFw3__cspco8z6nw
101 Thai Way,['Thai'],Cloverdale,95425,38.783698,-123.01120900000001,4.5,198,$$,kzQg7SmFR4YR_cK2tWRjEQ
KS Tian Yuen Restaurant,"['Chinese', 'Japanese', 'Sushi Bars']",Cloverdale,95425,38.800350189209,-123.017036437988,4.0,119,$$,GT3BntVo-Ves8ZywrmHTkg
Zini's Diner,"['American (Traditional)', 'Breakfast & Brunch']",Cloverdale,95425,38.791995,-123.016825,4.0,108,$$,qqpHX6ksqim3Sgm94zkTLA
Thai Spice,"['Thai', 'Desserts', 'Salad']",Cloverdale,95425,38.7844048,-123.01299479999999,4.5,50,$$,PgwlPkDTeiVvG44Jn2DjQg
Los Pinos Deli Market,"['Grocery', 'Tacos', 'Sandwiches']",Cloverdale,95425,38.79853,-123.01745,4.5,22,$$,9G2LpinvOizjurjyRvn9wg
Aztec Grill,['Mexican'],Cloverdale,95425,38.78373,-123.01268999999999,3.5,18,$,519ahIkavklyHgmZY_B-ig
Taco bell,"['Fast Food', 'Mexican']",Cloverdale,95425,38.7839490229458,-123.01141016185301,3.5,5,$,OE1qwg3bKhp_sKy_1mxSFA
McDonald's,"['Burgers', 'Fast Food', 'Coffee & Tea']",Cloverdale,95425,38.784104343224,-123.013211269013,2.0,32,$,AbV2CKvuLpXVGpWER65Z4Q
Subway,"['Sandwiches', 'Fast Food']",Cloverdale,95425,38.78456,-123.01508000000001,1.0,5,$,SckKW2thzadVIqTvnSLJKg
Subway,"['Sandwiches', 'Fast Food']",Cloverdale,95425,38.783863067627,-123.011474609375,2.5,4,$,W76ZrwAjPd751X-oEKvLJw
Golden Gate Shell,"['Gas Stations', 'Fast Food', 'Sandwiches']",Cloverdale,95425,38.783863067627,-123.011474609375,2.5,3,$$,9N-td0mNSbt5fOqUybF2iA
Smoked Out BBQ Joint,"['Food Trucks', 'Barbeque']",Hidden Valley Lake,95467,38.78993,-122.56798,5.0,11,NAN,zWUmav2eldv-xNebFW6GdA
Si Senor Mexican Restaurant,['Mexican'],Hidden Valley Lake,95467,38.7953217,-122.5571324,4.0,36,$$,uUGyY-4a2mftq3eZ5NWqaw
