,,,Napa,SF,Marin,Sonoma,Contra Costa,Alameda,San Mateo,Solano,Santa Clara
,,,94503,94102,94901,94922,94505,94501,94002,94510,
,,,94508,94103,94903,94923,94506,94502,94005,94512,94022
,,,94515,94104,94904,94926,94507,94536,94010,94533,94023
,,,94558,94105,94912,94927,94509,94537,94011,94534,94024
,,,94559,94107,94913,94928,94511,94538,94014,94535,94035
,,,94562,94108,94914,94931,94513,94539,94015,94571,94039
,,,94567,94109,94915,94951,94514,94540,94016,94585,94040
,,,94573,94110,94920,94952,94516,94541,94017,94589,94041
,,,94574,94111,94924,94953,94517,94542,94018,94590,94042
,,,94576,94112,94925,94954,94518,94543,94019,94591,94043
,,,94581,94114,94929,94955,94519,94544,94020,94592,94085
,,,94599,94115,94930,94972,94520,94545,94021,95620,94086
,,,,94116,94933,94975,94521,94546,94025,95625,94087
,,,,94117,94937,94999,94522,94550,94026,95687,94088
,,,,94118,94938,95401,94523,94551,94027,95688,94089
x,,,,94119,94939,95402,94524,94552,94028,95696,94301
,,,,94120,94940,95403,94525,94555,94030,,94302
,,,,94121,94941,95404,94526,94557,94037,,94303
,,,,94122,94942,95405,94527,94560,94038,,94304
,,,,94123,94945,95406,94528,94566,94044,,94305
,,,,94124,94946,95407,94529,94568,94060,,94306
,,,,94125,94947,95409,94530,94577,94061,,94309
,,,,94126,94948,95412,94531,94578,94062,,95002
,,,,94127,94949,95416,94547,94579,94063,,95008
,,,,94128,94950,95419,94548,94580,94064,,95009
,,,,94129,94956,95421,94549,94586,94065,,95011
,,,,94130,94957,95425,94553,94587,94066,,95013
,,,,94131,94960,95430,94556,94588,94070,,95014
,,,,94132,94963,95431,94561,94601,94074,,95015
,,,,94133,94964,95433,94563,94602,94080,,95020
,,,,94134,94965,95436,94564,94603,94083,,95021
,,,,94137,94966,95439,94565,94604,94128,,95026
,,,,94139,94970,95441,94569,94605,94401,,95030
,,,,94140,94971,95442,94570,94606,94402,,95031
,,,,94141,94973,95444,94572,94607,94403,,95032
,,,,94142,94974,95446,94575,94608,94404,,95035
,,,,94143,94976,95448,94582,94609,94497,,95036
,,,,94144,94977,95450,94583,94610,,,95037
,,,,94145,94978,95452,94595,94611,,,95038
,,,,94146,94979,95462,94596,94612,,,95042
,,,,94147,94998,95465,94597,94613,,,95044
,,,,94151,,95471,94598,94614,,,95046
,,,,94158,,95472,94801,94615,,,95050
,,,,94159,,95473,94802,94617,,,95051
,,,,94160,,95476,94803,94618,,,95052
,,,,94161,,95480,94804,94619,,,95053
,,,,94163,,95486,94805,94620,,,95054
,,,,94164,,95487,94806,94621,,,95055
,,,,94172,,95492,94807,94622,,,95056
,,,,94177,,95497,94808,94623,,,95070
,,,,94188,,,94820,94624,,,95071
,,,,,,,94850,94649,,,95101
,,,,,,,,94659,,,95103
,,,,,,,,94660,,,95106
,,,,,,,,94661,,,95108
,,,,,,,,94662,,,95109
,,,,,,,,94666,,,95110
,,,,,,,,94701,,,95111
,,,,,,,,94702,,,95112
,,,,,,,,94703,,,95113
,,,,,,,,94704,,,95115
,,,,,,,,94705,,,95116
,,,,,,,,94706,,,95117
,,,,,,,,94707,,,95118
,,,,,,,,94708,,,95119
,,,,,,,,94709,,,95120
,,,,,,,,94710,,,95121
,,,,,,,,94712,,,95122
,,,,,,,,94720,,,95123
,,,,,,,,,,,95124
,,,,,,,,,,,95125
,,,,,,,,,,,95126
,,,,,,,,,,,95127
,,,,,,,,,,,95128
,,,,,,,,,,,95129
,,,,,,,,,,,95130
,,,,,,,,,,,95131
,,,,,,,,,,,95132
,,,,,,,,,,,95133
,,,,,,,,,,,95134
,,,,,,,,,,,95135
,,,,,,,,,,,95136
,,,,,,,,,,,95138
,,,,,,,,,,,95139
,,,,,,,,,,,95140
,,,,,,,,,,,95141
,,,,,,,,,,,95148
,,,,,,,,,,,95150
,,,,,,,,,,,95151
,,,,,,,,,,,95152
,,,,,,,,,,,95153
,,,,,,,,,,,95154
,,,,,,,,,,,95155
,,,,,,,,,,,95156
,,,,,,,,,,,95157
,,,,,,,,,,,95158
,,,,,,,,,,,95159
,,,,,,,,,,,95160
,,,,,,,,,,,95161
,,,,,,,,,,,95164
,,,,,,,,,,,95170
,,,,,,,,,,,95172
,,,,,,,,,,,95173
,,,,,,,,,,,95190
,,,,,,,,,,,95191
,,,,,,,,,,,95192
,,,,,,,,,,,95193
,,,,,,,,,,,95194
,,,,,,,,,,,95196
