,Name,Category,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID,County
0,Railroad Station Bar and Grill,"American(New),Southern",38.80307844,-123.015378,4,223,$$,slg-wyyA57sZSMWmNshl-Q,Sonoma
1,Hamburger Ranch & Bar-B-Que,"Barbeque,Burgers",38.81781769,-123.0236282,4,381,$$,0Dj4fW3J3DJzrI51PLadRA,Sonoma
2,Trading Post,"Bakeries,American(New)",38.8051039,-123.0168659,4,130,$$,6o26tulocbwnkZx89EVHkA,Sonoma
3,Cloverdale Ale Company,American(Traditional),38.80563744,-123.0159444,4,22,$$,wAbWk-do6kAUt3V9z8f9Wg,Sonoma
4,Piacere Italiano Steak and Seafood,"Italian,Steakhouses,Seafood",38.81069183,-123.0206223,3.5,123,$$,wcRhJxjChvs7Q4nBft_c8A,Sonoma
6,Papa's Pizza Cafe,"Pizza,Salad,Sandwiches",38.8053262,-123.017612,4.5,85,$$,bwp-KNxkgfQhsbaBYYvqdw,Sonoma
7,MoE's Eagles Nest Deli,Delis,38.8056685,-123.0174212,3.5,61,$,mweczDf0CB-zt4JsremEPQ,Sonoma
8,La Hacienda,Mexican,38.8065349,-123.0178458,3.5,83,$$,aPow7ctyoPiaMGzHhzfZvQ,Sonoma
9,Picks Drive-In,"Burgers,IceCream&FrozenYogurt,Sandwiches",38.80475164,-123.0170622,3.5,167,$$,qqVysA8ns692wucr7ftr8w,Sonoma
10,El Molcajete,Mexican,38.78440495,-123.014941,4,90,$$,vDVaUkNFw3__cspco8z6nw,Sonoma
11,101 Thai Way,Thai,38.783698,-123.011209,4.5,198,$$,kzQg7SmFR4YR_cK2tWRjEQ,Sonoma
12,KS Tian Yuen Restaurant,"Chinese,Japanese,SushiBars",38.80035019,-123.0170364,4,119,$$,GT3BntVo-Ves8ZywrmHTkg,Sonoma
13,Zini's Diner,"American(Traditional),Breakfast&Brunch",38.791995,-123.016825,4,108,$$,qqpHX6ksqim3Sgm94zkTLA,Sonoma
14,Thai Spice,"Thai,Desserts,Salad",38.7844048,-123.0129948,4.5,50,$$,PgwlPkDTeiVvG44Jn2DjQg,Sonoma
16,Aztec Grill,Mexican,38.78373,-123.01269,3.5,18,$,519ahIkavklyHgmZY_B-ig,Sonoma
17,Taco bell,"FastFood,Mexican",38.78394902,-123.0114102,3.5,5,$,OE1qwg3bKhp_sKy_1mxSFA,Sonoma
18,McDonald's,"Burgers,FastFood",38.78410434,-123.0132113,2,32,$,AbV2CKvuLpXVGpWER65Z4Q,Sonoma
19,Subway,"Sandwiches,FastFood",38.78456,-123.01508,1,5,$,SckKW2thzadVIqTvnSLJKg,Sonoma
20,Subway,"Sandwiches,FastFood",38.78386307,-123.0114746,2.5,4,$,W76ZrwAjPd751X-oEKvLJw,Sonoma
21,Golden Gate Shell,"FastFood,Sandwiches",38.78386307,-123.0114746,2.5,3,$$,9N-td0mNSbt5fOqUybF2iA,Sonoma
23,Pizza Gourmet,Pizza,38.6088624,-122.8716152,2,1,Unavailable,eacYYjLaDFAAaM_k6LdUwQ,Napa
24,Cucina Italiana,"Italian,Breakfast&Brunch",38.53314,-122.22694,4,105,$$,T-0xutQmoUKcA-u-lKkjFw,Napa
26,Wine Forest,Seafood,38.4245,-122.48638,3,2,Unavailable,Zvlvxi8FUoSXQ-FaROzpDQ,Napa
27,Mustards Grill,American(New),38.418954,-122.388218,4,1963,$$$,NJNTadzLju3HJsHg1ZMcPw,Napa
29,Potsticker Ye Shi,Taiwanese,38.3908615,-122.24646,1.5,2,Unavailable,v1ENmmFmbX4ViNCFTFh2ZQ,Napa
30,Bistro Don Giovanni,Italian,38.34461654,-122.3264156,4,1289,$$$,Hd88iZSlnkIzTzKLwYD8cA,Napa
31,Il Posto Trattoria,Italian,38.33623074,-122.3225036,4,409,$$,gZS-dB29Fdp2cshoh-UVnQ,Napa
33,Red Hen Bar and Grill,"Mexican,Steakhouses,Breakfast&Brunch",38.33487,-122.32235,3,374,$$,pdi166-fKlNymdTBC3Pzmw,Napa
35,Galpao Gaucho- Napa,"Steakhouses,Brazilian",38.33126,-122.31699,4.5,944,$$$,lGLweu8FRn-e0TdMWEWQng,Napa
36,FumÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Bistro & Bar,American(New),38.332624,-122.318203,4,873,$$,CT0RESJF8TKaXUKFg44g8A,Napa
37,The Mansion Lounge,Tapas/SmallPlates,38.34969,-122.26698,4,9,$$,2GkTzhUq0M3-w6pifwO8JQ,Napa
39,The Grill,American(New),38.348755,-122.264322,3,117,$$,qPqoU4JxT1-ItDKhag7OSA,Napa
41,North Napa BBQ,American(New),38.33381,-122.31909,3.5,69,$$,lxhYqMiY3mQQ19JE1rJahw,Napa
42,Tacomania,Mexican,38.34256,-122.315437,3,2,$,qb0wA1McNBx60XROycWg6Q,Napa
43,Cordeiro's Steakhouse,"Seafood,Steakhouses",38.3384,-122.25943,4.5,318,$$$$,eMOscRvVqM2wvymrSig_dQ,Napa
44,Vineburg Deli,"Delis,Sandwiches,Breakfast&Brunch",38.33701,-122.26309,4.5,40,$,9rNHcitrumJ662GIxiVA7Q,Napa
46,Hop Creek,"Gastropubs,Burgers",38.30435,-122.32883,4.5,227,$$,7J9arBY_k-AOSsqIm3FwVg,Napa
47,Heritage Eats,"Salad,AsianFusion",38.32387,-122.30711,4.5,675,$$,7Hyf9cUyiYWkmhhQ0_AWqA,Napa
49,Yak & Yeti,"Indian,Himalayan/Nepalese",38.31855,-122.29798,4.5,140,$$,Ht0niTEmjKtPriSQPm3l6Q,Napa
50,Trancas Steakhouse,Steakhouses,38.32324,-122.29552,3.5,301,$$,cI7vEILthTHYjKkwSUKxhw,Napa
51,Red Rock Cafe & Back Door BBQ,"Barbeque,Burgers,American(Traditional)",38.3088994,-122.2936418,4,329,$$,IfrL2aZ9bSexzQ6z37Cy-w,Napa
52,Squeeze Inn Hamburgers,Burgers,38.31977,-122.31037,4,442,$,LiokJ8a2MDodEX-FH56lMw,Napa
53,Aroma Indian Cuisine,Indian,38.31593955,-122.2977232,4.5,378,$$,YavyNdLBS5SfFvlCiGTVBQ,Napa
54,JuJu's Mediterranean Kitchen,Mediterranean,38.32043918,-122.3068837,4,165,$$,XxC-FHt_VOsUvrbmPrV1Gg,Napa
55,Fresh A-Mex,Mexican,38.32386,-122.28686,4.5,27,Unavailable,IpfFMC85woy0RKfnF7aCAg,Napa
56,Jade Garden,Chinese,38.32063377,-122.3071305,4,65,$$,jBp1z_6Iigjpg4xYUUw_GA,Napa
57,Southside Cafe,Breakfast&Brunch,38.2880478,-122.3099037,4.5,441,$$,XsNGyuVUnglp1-ZYC3zCsQ,Napa
58,La Taquiza Fish Tacos,"Tacos,Seafood",38.32065,-122.31074,4,253,$,z3IEwvr7gvKt2YvtuTqsTg,Napa
59,Dragon Valley,Chinese,38.32174844,-122.3049527,3.5,66,$$,DpSjiQCpzDH8zjSyPpR2Pw,Napa
60,Andies Cafe,"American(Traditional),Burgers",38.2992574,-122.3047925,4.5,240,$,G-OqqASl0x1Oa5Yrw-_owA,Napa
61,Thai Kitchen Restaurant,Thai,38.3232799,-122.29904,3.5,136,$$,6_MfEsfO1uz7UyIfkpLvkg,Napa
62,Sushi Haku,"Japanese,SushiBars",38.319281,-122.298154,3,282,$$,ae0P7DM6F6FKvZly17i3sA,Napa
63,Genova Delicatessen,"Delis,Italian,Sandwiches",38.32316,-122.30333,4,401,$$,XYtKUAd_s570tdvG1Tjlug,Napa
65,Velo Pizzeria,"Pizza,Sandwiches,Italian",38.29795779,-122.2846436,4,214,$$,ibWC46g506maEK6HMLsOvA,Napa
66,The Habit Burger Grill,"Burgers,American(Traditional)",38.32133,-122.30691,3,162,$,2jYBm4dafuCrBYUqsGTvIA,Napa
67,Hop Hing's Kitchen,Chinese,38.32387,-122.28699,3.5,48,$,duhxq_05CXlmKFujwkAWcA,Napa
70,Siam Thai House,Thai,38.30826,-122.2949,3.5,109,$$,YpvFnMpbHrY-B64szIBy_g,Napa
71,Papa Joe's Pizza,Pizza,38.30834,-122.29466,3.5,343,$$,gNOeQMfxjHFx0vxxo0HRKA,Napa
72,VINeleven,"American(New),Breakfast&Brunch",38.32274,-122.31206,4,42,$$,bYkaN39j_zI_yA2JibW3gg,Napa
73,Mary's Pizza Shack,"Pizza,Italian",38.31695,-122.29855,3,155,$$,Qfeu4USWocR4nJ-mVy8OOA,Napa
74,Golden Bagel Cafe,"Bagels,Breakfast&Brunch",38.32047,-122.2987,3,125,$,n4YUx4Myd39Qvrt8wyLKig,Napa
75,Rincon De Michoacan,Mexican,38.29445452,-122.3034569,4,16,Unavailable,1GKhqdmzklCdEvuhazoyNw,Napa
76,Mis Antojos,Mexican,38.3152809,-122.2979736,4,10,Unavailable,WjH_imdGFJXvAmuDlUgb5w,Napa
78,Jefferson Street Cafe,Cafes,38.31683,-122.29767,3.5,127,$$,-11_A07IaZKQkANobgiKOA,Napa
79,Villa Corona,"Mexican,Breakfast&Brunch",38.32246248,-122.3052418,3.5,325,$$,LNHteZ5ut28O10xUzQc0Ww,Napa
81,Great American Grill,"American(New),Barbeque",38.32428,-122.31301,4.5,3,$$,f6Gt4WGe5jFPtRH9EK1KwQ,Napa
82,Taqueria 3 Hermanos No 2,Mexican,38.31698,-122.29846,3.5,19,$,R9fBvIctDbU6oKh2x6pR0w,Napa
83,Taco Bell,"Mexican,Tex-Mex,FastFood",38.31832,-122.29921,2,37,$,YqyL8qT03pgXLZw6XXFZ6A,Napa
84,Sizzler,"Seafood,Steakhouses,Salad",38.32185,-122.30339,3,40,$$,C5_Pfc7JhOS4LRIwpP9YfQ,Napa
85,New York Pizza Kitchen,"Pizza,Italian,Salad",38.3248146,-122.2871033,2.5,128,$$,R2YiptexsykwDePrFRhyhw,Napa
87,Wendy's,"Burgers,FastFood",38.32287,-122.30241,2.5,34,$,BYg5m-KKP9phvD2YXrXydg,Napa
88,Pizza Guys,Pizza,38.31580992,-122.2976402,3,66,$$,-8IQoQvRJIlHLe718ldpaA,Napa
89,Small World Deli,Delis,38.29831704,-122.2866726,5,29,$,vxw7tfCYs93BnH07SBg8vA,Napa
