,Name,Lat_Restaurant,Lng_Restaurant,Address,Zip,Rating,# of Reviews,Price Level,Category,Yelp ID,City,County
11,Brick Oven Pizza,38.82500431,-122.722054,16295 Hwy 175,95426,3.5,36,$$,Pizza,zZEOUAq-9jWHEXG-DSLZsg,Cobb,Lake County
13,Commons Farm Kitchen & Bar,38.82751682,-122.1916303,7624 CA-16,95637,4.5,10,unavailable,Desserts,Tw0ulLjwqs34f06ZPPBnIA,Hidden Valley Lake,Lake County
26,Smoked Out BBQ Joint,38.78993,-122.56798,18675 Guenoc Ln,95467,5,11,unavailable,Food Trucks,zWUmav2eldv-xNebFW6GdA,Hidden Valley Lake,Lake County
27,Si Senor Mexican Restaurant,38.7953217,-122.5571324,18990 Coyote Valley Rd,95467,4,36,$$,Mexican,uUGyY-4a2mftq3eZ5NWqaw,Hidden Valley Lake,Lake County
28,Stone Fire Pizza,38.79458,-122.5561,18983 Hartmann Rd,95467,3.5,63,$$,Pizza,9EGaRUZQnEleInYnY7JjTQ,Hidden Valley Lake,Lake County
29,Greenview Restaurant,38.79611007,-122.5557914,19210 Hartmann Rd,95467,3.5,37,$$,American (Traditional),fmsBtAGjka2PmI-i3-MIug,Hidden Valley Lake,Lake County
30,Crave Coffee House,38.79194275,-122.5566624,18908 Hartmann Rd,95467,4,1,unavailable,Restaurants,2SvpmZm4iCC5F3qUu0ZfbA,Hidden Valley Lake,Lake County
31,Tnt's Frozen Yogurt & Deli,38.79458,-122.5561,18983 Hartmann Rd,95467,5,1,unavailable,Delis,frJoI4IuQQRySMEKv_Ztrg,Hidden Valley Lake,Lake County
32,Subway,38.79458,-122.5561,18983 Hartmann Rd,95467,3,8,$,Sandwiches,QJjBLrqaFqdgj_Bnzj4DJQ,Hidden Valley Lake,Lake County
33,Zamora Mini Market,38.79465937,-121.8782797,9920 County Rd 99W,95698,3.5,19,$,Gas Stations,ztXzShIWtjRuqQmDEltBdg,Zamora ,Yolo County
34,Las Maracas Mexican Restaurant,38.79846,-121.72153,9540 Locust St,95776,4.5,20,$,Mexican,lYrDm8vSFJpLgYNjfd7EPw,Woodland,Yolo County
35,Wayside Market,38.79605103,-121.7229004,915 Locust St,95645,2.5,2,$,Grocery,jQEVq9T96CeuaXluUpfyxQ,Knights Landing,Yolo County/ Sutter County
36,Buddha Thai Restaurant,38.7543068,-122.6147749,21037 Calistoga Rd,95461,4.5,93,$$,Thai,vNspqciLSh22oTD-P2yDTg,Middletown ,Lake County
37,Mount St Helena Brewing,38.75199509,-122.6158142,21167 Calistoga Rd,95461,3.5,48,$$,Breweries,jI7KjPdK3M6OnQF6XADllg,Middletown ,Lake County
38,La Parrilla Mexican Grill,38.74728913,-122.6194918,21389 Stewart St,95461,4.5,80,$$,Mexican,RHJEH_jsaBpLOqlLBg6BEw,Middletown ,Lake County
39,Rosales Market,38.75177002,-122.615036,21178 Calistoga Rd,95461,4.5,21,$,Grocery,uVDcF-YKuKwtT6ia-4fJtA,Middletown ,Lake County
40,Perry's Delicatessen and Catering,38.74822235,-122.6163483,21308 Calistoga,95461,4,63,$,Caterers,RP6K-zNK9PTP0VJl58PUmQ,Middletown ,Lake County
41,Cowpoke Cafe,38.752876,-122.614532,21118 Calistoga Rd,95461,4,114,$$,Breakfast & Brunch,bav9AH6FnN3Hmb6-iB46gg,Middletown ,Lake County
42,Su Garden,38.74877699,-122.6162594,21308 Calistoga Rd,95461,3.5,26,unavailable,Chinese,YtcCtP6IQoYnpRAfaQNCyg,Middletown ,Lake County
