,Name,Category,Biz City,Biz Zip,Biz Lat,Biz Lng,Rating,Review Count,Price,Yelp ID
20719,Acai R,"['Acai Bowls', 'Juice Bars & Smoothies', 'Salad']",San Francisco,94112,37.72359,-122.45388999999999,4.5,109,$,geH7rhACQK-J-QuzbDARJA
21459,Kitchen Keto,"['Acai Bowls', 'Salad']",San Francisco,94124,37.7305679321289,-122.385284423828,5.0,8,NAN,pktJXfqXHxgsRgFovnGeSw
10750,BoVida,"['Acai Bowls', 'Sandwiches', 'Juice Bars & Smoothies']",Bolinas,94924,37.9094830921374,-122.686103470623,4.5,6,NAN,9eZx_fKfeTdUspFIak7eGA
1610,Sacramento Chinatown Mall,"['Active Life', 'Shopping', 'Restaurants']",Sacramento,95814,38.5825177725068,-121.501343250275,2.0,10,$,_LJleRRFFCK--rUZveQ6kA
29949,Little Kabul Market,"['Afghan', 'Convenience Stores', 'Grocery']",Fremont,94536,37.552665000000005,-122.018196,4.0,26,$,g-NQjkwIMiIyEDkT8VE_lw
29907,De Afghanan Kabob House,"['Afghan', 'Desserts', 'Mediterranean']",Fremont,94536,37.55747,-122.00627,4.0,420,$$,ukb09QOx-ksy9l4p7vKqtw
25271,5Star Kitchen,"['Afghan', 'Food Stands']",Livermore,94550,37.67928,-121.76785,5.0,1,NAN,73HSdHMR7CsnJyFkTDRkcg
24609,Ghazni Afghan Kabobs,"['Afghan', 'Halal', 'Caterers']",Hayward,94541,37.676637,-122.079516,4.5,824,$$,vx62TkaXqgOTw0w0BZM9kw
26408,Ghazni Afghan Kabobs & Catering,"['Afghan', 'Halal', 'Mediterranean']",Hayward,94544,37.658922,-122.09588383,4.5,23,NAN,uOKWE83lZRcxxAKT9oiaMw
31156,Fremont Afghan Kabob,"['Afghan', 'Halal', 'Middle Eastern']",Fremont,94538,37.5326499,-122.00221,4.0,573,$$,6h8pCLeUisPsaBfRMrPMag
22992,Kabul Kabob & Grill,"['Afghan', 'Halal', 'Middle Eastern']",Dublin,94568,37.722185100000004,-121.94188559999999,4.5,291,$$,Tdl-L7cPO2RqU-d6H8jHvg
519,Kabab & Grill,"['Afghan', 'Halal', 'Pakistani']",Sacramento,95834,38.65569,-121.50352,4.5,84,$$,vZc7Y03sGHE4MjyLBQfI2Q
4460,Habib's Famous Kabob,"['Afghan', 'Halal']",Vacaville,95688,38.3590667,-121.9835768,4.5,430,$$,bAtugajroaI4GRxYHdJDLg
189,House of Shah,"['Afghan', 'Halal']",Woodland,95695,38.6773351,-121.7733683,4.5,196,$$,TUjpU3eMtXNJsnh6H2HCrw
10604,Naan & Kabob Bazaar,"['Afghan', 'International Grocery', 'Halal']",Antioch,94531,37.96219,-121.75763,5.0,14,$,HTq_Rov2hNuwv8Pec_uSkw
26593,Afghan Market,"['Afghan', 'International Grocery', 'Meat Shops']",Hayward,94544,37.6302975469509,-122.07690815302601,4.0,16,$$,7jX2yZ0Yzjj_JrsWG2Gkeg
10110,Mazar Market & Grill,"['Afghan', 'Italian']",Concord,94521,37.9595913820106,-121.99609509999999,4.5,59,$$,J9MWQr_8tPLe_1NbZYpVJA
22980,Chopan kabob,"['Afghan', 'Kebab']",San Ramon,94582,37.72384133,-121.94198349999999,4.5,10,NAN,v6_SAVXqJUlGFmBfOXT5yQ
13745,The Afghan Chef,"['Afghan', 'Mediterranean', 'Caterers']",Alamo,94507,37.850090026855504,-122.032386779785,5.0,1,NAN,-Mik8mKj2CVx0koz1mg7aA
25248,Roya Afghan Cuisine,"['Afghan', 'Mediterranean', 'Desserts']",Livermore,94550,37.681259999999995,-121.77088,4.5,251,$$,SSuj1dpW-NX1dGCJWgBWOQ
24837,Pamir Restaurant,"['Afghan', 'Mediterranean', 'Halal']",Dublin,94568,37.7051969789512,-121.87615513801599,4.5,854,$$,qpQIeE61EMZtzmYdZ6vzBw
143,Helmand Palace,"['Afghan', 'Mediterranean', 'Halal']",San Francisco,94109.0,37.798,-122.42343,4.5,801,$$,ODed3UyqDFIFs3gDcXhm7A
