Row Labels,Count of Category
[],1
"['Acai Bowls', 'Juice Bars & Smoothies', 'Salad']",1
"['Acai Bowls', 'Salad']",1
"['Acai Bowls', 'Sandwiches', 'Juice Bars & Smoothies']",1
"['Active Life', 'Shopping', 'Restaurants']",1
"['Afghan', 'Convenience Stores', 'Grocery']",1
"['Afghan', 'Food Stands']",1
"['Afghan', 'Halal', 'Caterers']",1
"['Afghan', 'Halal', 'Mediterranean']",1
"['Afghan', 'Halal', 'Middle Eastern']",2
"['Afghan', 'Halal', 'Pakistani']",1
"['Afghan', 'Halal']",2
"['Afghan', 'International Grocery', 'Halal']",1
"['Afghan', 'Italian']",1
"['Afghan', 'Mediterranean', 'Caterers']",1
"['Afghan', 'Mediterranean', 'Desserts']",1
"['Afghan', 'Mediterranean', 'Halal']",3
"['Afghan', 'Mediterranean']",1
"['Afghan', 'Middle Eastern']",3
"['Afghan', 'Pakistani', 'Kebab']",1
['Afghan'],8
"['African', 'Caribbean', 'Barbeque']",1
"['African', 'Desserts']",1
['African'],6
"['American (New)', 'American (Traditional)', 'Diners']",1
"['American (New)', 'American (Traditional)', 'Fast Food']",1
"['American (New)', 'American (Traditional)']",6
"['American (New)', 'Asian Fusion', 'Bars']",1
"['American (New)', 'Asian Fusion', 'Lounges']",1
"['American (New)', 'Asian Fusion']",4
"['American (New)', 'Bakeries', 'Breakfast & Brunch']",1
"['American (New)', 'Bakeries']",1
"['American (New)', 'Barbeque', 'Pubs']",1
"['American (New)', 'Barbeque', 'Salad']",1
"['American (New)', 'Barbeque', 'Venues & Event Spaces']",1
"['American (New)', 'Barbeque']",2
"['American (New)', 'Bars', 'American (Traditional)']",2
"['American (New)', 'Bars', 'Breakfast & Brunch']",6
"['American (New)', 'Bars', 'Breweries']",1
"['American (New)', 'Bars', 'Burgers']",1
"['American (New)', 'Bars', 'Dance Clubs']",1
"['American (New)', 'Bars', 'Gastropubs']",1
"['American (New)', 'Bars', 'Gluten-Free']",1
"['American (New)', 'Bars', 'Jazz & Blues']",1
"['American (New)', 'Bars', 'Music Venues']",1
"['American (New)', 'Bars', 'Pizza']",1
"['American (New)', 'Bars', 'Seafood']",2
